,orgão,serviço,efetivo,max interacoes
1,detran,PRIMEIRA HABILITAÇÃO,True,9
2,detran,INDICAÇÃO DE CONDUTOR INFRATOR,True,14
3,detran,MUDANÇA DE CATEGORIA - HABILITAÇÃO,True,6
4,detran,RENOVAÇÃO DA CNH SIMPLES,False,17
5,cagepa,LIGAÇÃO DE ÁGUA,True,18
6,cagepa,SEGUNDA VIA DE CONTA DE ÁGUA E ESGOTO,True,20
7,cagepa,DESOBSTRUÇÃO DE RAMAL DE ESGOTO,True,19
8,cagepa,ATUALIZAÇÃO CADASTRAL,False,7
9,funade,AQUISIÇÃO DE CARTEIRA DE IDENTIFICAÇÃO DO AUTISTA - CIPTEA,True,13
10,funade,Serviço de Informação ao Cidadão,True,10
11,funade,Serviço Especializado em Triagem e Diagnóstico,True,12
12,funade,Aquisição da Carteira de Passe Livre Intermunicipal,True,15
13,cbmpb,Socorro de Emergências,True,19
14,cbmpb,Análise de Projeto de Segurança contra Incêndio Simplificado,True,13
15,cbmpb,Perícia de Incêndio e Explosão,True,19
16,cbmpb,Consulta Técnica: Esclarecimento de Dúvidas para Sua Segurança,True,14
17,cinep,Concessão de Incentivo Fiscal a Empresas,False,9
18,cinep,Concessão de Incentivo Locacional a Empresas,True,19
19,sudema,Licença de Alteração - Divisão de Infraestrutura (DINFRA),True,16
20,sudema,Licença por Adesão e Compromisso,True,9
21,sudema,Licença de Operação para Pesquisa Mineral,True,6
